"Date","Temp","Humid","p1","p2"
2022-06-05,25.29995331,87.07796452,8.858819259,8.491490256
2022-06-06,24.09868651,90.39741681,3.761877875,3.565223756
2022-06-07,23.4894985,89.41663095,3.750578406,3.564460154
2022-06-08,23.21584354,86.61825365,7.403300473,7.046175079
2022-06-09,22.65225261,86.45518906,17.69899396,16.76926358
2022-06-10,23.47655694,74.63269573,8.037813891,7.667333037
2022-06-11,23.39519935,69.64235151,6.860484923,6.530594947
2022-06-12,23.10713213,76.58344595,6.539853549,6.200330454
2022-06-13,21.89991398,81.16752688,14.36330749,13.52589578
2022-06-14,24.53021954,72.51287129,8.546470082,8.155940594
2022-06-15,24.77732849,70.14325307,12.65439146,12.06757493
2022-06-16,24.98043753,64.12570467,11.09604386,10.51576128
2022-06-17,24.59938373,64.66294166,12.16100616,11.55116632
2022-06-18,24.92925798,65.6366782,8.042881878,7.60676414
2022-06-19,23.01646248,74.29218989,7.25538491,6.8638491
2022-06-20,23.0045987,73.45778742,10.7025671,10.16544589
2022-06-21,24.26141326,65.73632394,7.626903533,7.27674474
2022-06-22,23.3389304,68.33767204,8.539984252,8.105641732
2022-06-23,22.63752569,75.93625154,6.41038398,6.075916598
2022-06-24,21.19668151,79.44334278,8.619919028,8.226793522
2022-06-25,21.57026817,80.46883016,8.443767496,8.074346812
2022-06-26,21.27270651,87.64035021,5.709450878,5.448729922
2022-06-27,20.91799147,90.07611477,6.84496757,6.517897749
2022-06-28,19.92012712,93.5309322,6.958175933,6.577635187
2022-06-29,20.76015873,98.19587302,8.233376328,7.839066768
2022-06-30,23.08243243,94.94594595,4.431025934,4.218974066
2022-07-01,21.05957854,98.07011494,9.202239097,8.738317757
2022-07-02,22.41611166,91.21106758,5.292552954,4.998636195
2022-07-03,24.11614213,91.50918782,3.9575387,3.738188854
2022-07-04,23.26496233,78.60080732,11.10384283,10.56596464
2022-07-05,22.90089251,88.19010477,10.41635177,9.869754224
2022-07-06,22.60615189,89.2245227,8.585968303,8.166602242
2022-07-07,22.40109266,93.40603147,9.221842508,8.774097859
2022-07-08,21.11195462,99.82870855,13.85029276,12.98060478
2022-07-09,19.48934467,99.75452726,19.43891146,18.10156382
2022-07-10,18.51882086,99.9,6.698174727,6.333724649
2022-07-11,24.81190244,91.40546341,6.257981928,5.937481175
2022-07-12,19.243717,99.9,13.04556321,12.38403566
2022-07-13,23.27418618,81.23380925,11.16675403,10.42153226
2022-07-14,21.62023121,96.25044666,8.053001225,7.698346264
2022-07-15,22.35881857,91.27388186,3.793370832,3.57756127
2022-07-16,21.80751422,96.32152721,8.457946967,8.056970671
2022-07-17,20.18464679,99.85443038,11.92895402,11.31922222
2022-07-18,20.40781893,97.15462963,12.92782738,12.27375496
2022-07-19,21.27541626,94.05572968,13.76645923,12.80293991
2022-07-20,21.08596311,96.11813525,7.607116536,7.179318287
2022-07-21,20.69476141,94.7004668,5.307821229,5.033086592
2022-07-22,20.82522124,96.87138643,5.839189931,5.525597254
2022-07-23,21.44327697,95.64794686,9.353201874,8.839554861
2022-07-24,22.47771937,76.66021027,4.85805342,4.578247673
2022-07-25,21.96737288,81.5819209,7.413734088,7.046949552
2022-07-26,22.61971154,77.1104021,10.92494544,10.36922741
2022-07-27,22.85901044,78.31534271,14.48507727,13.60601364
2022-07-28,22.84932615,77.20467206,11.65650337,11.07227865
2022-07-29,22.57875105,79.69966471,17.21005036,16.06407889
2022-07-30,22.02765957,81.26305609,9.074719319,8.591463415
2022-07-31,22.71807557,80.4924815,6.376828983,6.01635372
2022-08-01,21.12156048,88.9245614,8.996916705,8.460869765
2022-08-02,20.36,92.50058824,19.9254798,18.06662037
2022-08-03,20.415195595,80.42084458,39.201563,33.51870655
2022-08-04,19.94512628,86.09915351,35.58779108,30.06398747
2022-08-05,19.75387523,81.740799135,39.382536625,33.50488543
2022-08-06,21.33861626,69.07033073,33.80855725,29.291179135
2022-08-07,20.13453851,71.84471125,27.6378841265,24.277842355
2022-08-08,21.59085186,66.86494755,19.0231755955,17.3788509525
2022-08-09,21.823861445,68.1639659,18.4010441915,16.392354976
2022-08-10,22.400345435,67.060428315,15.458081438,14.0334854915
2022-08-11,20.867166005,77.28091384,21.8735017645,19.0594781685
2022-08-12,21.38648871,68.360352005,18.5825097915,16.1671880755
2022-08-13,20.855761925,76.837055925,27.8322356975,23.6115599495
2022-08-14,21.10468482,75.16329218,26.572458027,22.6772149895
2022-08-15,21.822594835,76.552724475,28.16883007,24.244717215
2022-08-16,23.096389445,68.63237241,21.4632640045,19.0823142755
2022-08-17,21.51780124,69.132254355,35.605775605,30.098035555
2022-08-18,23.050848585,58.37377306,26.708438775,23.917534535
2022-08-19,24.08673898,63.715197555,24.470759605,21.988463205
2022-08-20,24.28430972,66.650550345,32.110931705,27.917700619
2022-08-21,24.163177515,58.37578939,18.9561628365,16.5610593835
2022-08-22,23.45650359,55.365685945,29.796395721,25.8909491385
2022-08-23,22.15242961,60.24665732,28.4511130165,24.4668855875
2022-08-24,22.951259225,57.04840752,21.8544499565,18.715274994
2022-08-25,21.989261925,64.72529747,19.5478499415,17.648667337
2022-08-26,22.61462128,68.246595965,30.2907930945,26.342184084
2022-08-27,20.68922862,77.617510925,37.32714706,32.192858005
2022-08-28,21.875795595,71.808016435,31.91217186,27.1908568865
2022-08-29,22.7025598,73.154981815,31.30853384,26.3591325465
2022-08-30,23.58215277,61.518160055,30.667227505,26.15090745
2022-08-31,22.81378504,61.368247995,29.82911007,25.081283635
2022-09-01,23.761690205,59.572397755,36.36099473,30.76195049
2022-09-02,21.78989993,76.018292415,38.714772905,32.47675839
2022-09-03,22.72294444,76.179080685,35.764557435,30.15436483
2022-09-04,21.61377358,82.74550943,14.45846038,13.73900755
2022-09-05,23.38472853,68.46926126,40.14164272,33.98498218
2022-09-06,22.532431055,79.37402845,38.772042245,33.37674685
2022-09-07,21.009091375,82.65213998,37.21918609,32.267205945
2022-09-08,21.14307985,77.53408486,38.40927014,33.04886163
2022-09-09,20.93012083,73.78268368,34.237541585,29.559751005
