"Date","Temp","Humid","p1","p2"
2019-02-25,21.56505682,77.86051136,20.6076549,10.394308035
2019-02-26,25.43442071,39.539210985,25.10601712,11.684467253
2019-02-27,26.68819635,41.00484418,41.84104638,21.425598745
2019-02-28,23.770730805,42.04974324,26.632219175,11.252693232
2019-03-01,24.958540405,37.10523196,37.5339603,18.470901351
2019-03-02,26.22115849,47.032466955,25.423449405,11.7772747705
2019-03-03,23.64390681,65.48817204,21.8172294,9.7608698475
2019-03-04,23.43567663,69.33743409,18.966077465,10.2647200705
2019-03-05,22.38681416,61.370265485,16.95914765,10.368674893
2019-03-06,23.44223386,58.77504363,21.56970332,6.656143106
2019-03-07,25.88754386,41.833947365,26.01333626,13.210616093
2019-03-08,23.775719935,52.24957051,24.62020353,8.8292623515
2019-03-09,24.69040608,47.445268335,39.324308245,12.559848175
2019-03-10,23.7472756,52.049740835,22.69854804,8.577238938
2019-03-11,21.032982455,59.495614035,32.11082724,14.6659287095
2019-03-12,24.51344086,43.067226705,34.618512545,13.1143189965
2019-03-13,25.347217305,44.69578171,33.37834987,12.249738816
2019-03-14,22.01962963,65.371666665,23.89081169,10.5347313405
2019-03-15,22.13235867,72.66744639,15.66631579,6.392495127
2019-03-16,23.01513043,70.91669565,15.91578397,6.141271777
2019-03-17,23.55493716,66.43572711,19.95600719,6.605521583
2019-03-18,23.77391304,64.112,16.80740418,6.23510453
2019-03-19,24.03430353,63.14802495,16.11205821,5.656195426
2019-03-20,24.15515789,65.31873684,16.06301688,5.800527426
2019-03-21,24.01921708,64.82153025,17.13396092,5.86285968
2019-03-22,23.95721739,69.07947826,16.89441739,5.8828
2019-03-23,23.42317073,67.80923345,19.90364747,8.904712042
2019-03-24,23.63147826,64.47008696,15.65339721,6.771132404
2019-03-25,24.16910995,59.66108202,18.21951049,7.485472028
2019-03-26,24.77604895,56.22797203,16.76208406,6.745901926
2019-03-27,24.16608392,68.4979021,13.95336842,6.052157895
2019-03-28,22.59744526,77.16076642,10.81308394,5.406861314
2019-03-29,23.69895652,72.60313043,12.46452962,5.740905923
2019-03-30,24.16533101,65.47526132,15.74337413,8.100839161
2019-03-31,24.39493007,66.87132867,16.56646235,9.485499124
2019-04-01,22.66605263,74.23368421,20.10750663,11.66440318
2019-04-02,24.37930435,64.24017391,18.32482578,9.566114983
2019-04-03,24.4986087,68.96956522,15.78619546,7.310924956
2019-04-04,23.71975524,77.89055944,13.27792982,5.923719298
2019-04-05,23.27660714,78.73892857,9.817119266,4.650550459
2019-04-06,23.36507092,72.67783688,10.92937833,5.413730018
2019-04-07,23.4907441,73.36479129,11.02085299,5.597785844
2019-04-08,24.58457447,61.1320922,14.25300178,6.393943162
2019-04-09,24.43048128,69.01853832,15.33507143,5.734071429
2019-04-10,27.22231989,43.8789443266667,25.0974813866667,10.445406558
2019-04-11,25.6992885533333,60.0435110933333,20.9775750466667,14.5604723323333
2019-04-12,25.87176423,56.2840889333333,15.36981201,10.0331414433333
2019-04-13,24.34625259,65.66013284,13.690429385,6.7261788675
2019-04-14,22.48358663,59.52553191,19.48265861,10.16389728
2019-04-15,25.27269829,50.4987126733333,18.1163199433333,10.371927289
2019-04-16,25.248734905,54.57165751,19.77792605,10.205859481
2019-04-17,25.17849393,52.719007015,19.78381127,9.34397551
2019-04-18,24.72307804,56.883754225,16.41748574,8.0606848665
